,Title,Topics 1,Topics 2_1,Topics 3_1,Topics 4,Keywords 1,Keywords 2_1,Keywords 3_1,Keywords 4_1,Keywords 5_1,Keywords 6,High-Level Keyword(s) 1,High-Level Keyword(s) 2_1,High-Level Keyword(s) 3_1,High-Level Keyword(s) 4
125,Online Lazy Updates for Portfolio Selection with Transaction Costs,Optimization,Online Learning,Time-Series/Data Streams,"Machine Learning (General/other)
Other Applications",Online learning,Portfolio selection,Transaction costs,Convex optimization,,,Heuristic Search and Optimization,Machine Learning,Applications,
126,Teamwork with Limited Knowledge of Teammates,"Transfer, Adaptation, Multitask Learning",Coordination and Collaboration,Multiagent Learning,,Multiagent Teamwork,Limited Knowledge,Ad Hoc Teamwork,Transfer Learning,,,Machine Learning,Multiagent Systems,,
127,Greedy or Not?   Local search move selection for MAXSAT,SAT and CSP: Evaluation and Analysis,SAT and CSP: Solvers and Tools,Evaluation and Analysis (Search and Optimization),,stochastic local search,SAT,empirical analysis,,,,Constraints and Satisfiability,Heuristic Search and Optimization,,
128,Learning Integrated Symbolic and Continuous Action Models for Continuous Domains,"Action, Change, and Causality","Geometric, Spatial, and Temporal Reasoning",Classification,"Clustering
Learning Models for Planning and Diagnosis",Action Modeling,Combined Symbolic/Continuous Learning,Inductive Logic Programming,Spatial Reasoning,,,Knowledge Representation and Reasoning,Machine Learning,"Reasoning about Plans, Processes, and Actions",
129,Truncated LPA* : Faster Replanning by Exploiting Suboptimality,Heuristic Search,Replanning and Plan Repair,Motion and Path Planning,,Heuristic Search,Path Planning,Incremental Search,,,,Heuristic Search and Optimization,"Reasoning about Plans, Processes, and Actions",Robotics,
130,Effective Bilingual Constraints for Semi-supervised Learning of Named Entity Recognizers,Information Extraction,,,,Gibbs sampling for factored models,bilingual constraints for NER,semi-supervised learning,,,,Natural Language Processing,,,
131,A General Formal Framework for Pathfinding Problems with Multiple Agents using Answer Set Programming,Logic Programming,Nonmonotonic Reasoning,Multi-Robot Systems,,knowledge representation,answer set programming,pathfinding,,,,Knowledge Representation and Reasoning,Robotics,,
132,Multiagent Learning with a Noisy Global Reward Signal,Reinforcement Learning,Coordination and Collaboration,Multiagent Learning,,Multiagent Coordination,Reinforcement Learning,Reward Shaping,Congestion Problems,Scaling,"Air Traffic Control
Function Approximation
Neural Networks",Machine Learning,Multiagent Systems,,
133,Modelling and Control of Mixed Observability Multiagent Systems,Reinforcement Learning,Multiagent Learning,,,predictive states,mixed observability,model learning,reinforcement learning,,,Machine Learning,Multiagent Systems,,
134,Resolution and Parallelizability: Barriers to the Efficient Parallelization of SAT Solvers,SAT and CSP: Evaluation and Analysis,SAT and CSP: Solvers and Tools,Satisfiability (General/Other),,Resolution,Satisfiability,Parallel,SAT,Clause Learning,Proof Complexity,Constraints and Satisfiability,,,
135,Ties Matter: Complexity of Manipulation when Tie-breaking with a Random Vote,Social Choice / Voting,,,,Social choice,Voting,Manipulation,Computational complexity,,,Multiagent Systems,,,
136,Solving security games on graphs via marginal probabilities,Optimization,Game Theory,,,computational game theory,stackelberg games,security games,,,,Heuristic Search and Optimization,Multiagent Systems,,
137,Sample Complexity and Performance Bounds for Non-parametric Approximate Linear Programming,Reinforcement Learning,,,,MDP,ALP,Reinforcement Learning,,,,Machine Learning,,,
138,PAC Optimal Exploration in Continuous Space Markov Decision Processes,Reinforcement Learning,,,,MDPs,PAC-optimal,Exploration,Reinforcement Learning,,,Machine Learning,,,
139,A Fast Pairwise Heuristic for Planning under Uncertainty,Planning (General/Other),Uncertainty in AI (General/Other),,,Planning under uncertainty,Decision Making,Markov Decision Process,POMDP,,,"Reasoning about Plans, Processes, and Actions",Reasoning under Uncertainty,,
140,Sensitivity of diffusion dynamics to network uncertainty,Agent-based Simulation and Emergent Behavior,Computational Social Science,Social Networks,,diffusion on graphs,independent cascades model,linear threshold model,network sampling,network perturbation,submodularity,Multiagent Systems,Applications,,
141,Automatic Identification of Conceptual Metaphors With Limited Knowledge,Unsupervised Learning (Other),Natural Language Processing (General/Other),,,conceptual metaphor,cognitive linguistics,natural language processing,metaphor perception,,,Machine Learning,Natural Language Processing,,
142,Model-Lite Case-Based Planning,Case-Based Reasoning,Deterministic Planning,Planning (General/Other),,Model-lite planning,case-based planning,planning,incomplete models,,,Machine Learning,"Reasoning about Plans, Processes, and Actions",,
143,Scalable Lifelong Learning with Active Task Selection,Active Learning,"Transfer, Adaptation, Multitask Learning",,,lifelong learning,multi-task learning,active learning,curriculum selection,,,Machine Learning,,,
144,Continuous Conditional Random Fields for Efficient Regression in Large Fully Connected Graphs,Big Data / Scalability,Graphical Model Learning,Structured Prediction,,structured regression,conditional random fields,approximate learning,approximate inference,fully connected graphs,,Machine Learning,,,
145,Probabilistic Sense Sentiment Similarity through Hidden Emotions,Information Extraction,Question Answering,Natural Language Processing (General/Other),,Sentiment Similarity,Indirect yse/no Question Answer Pairs,Sentiment Orientation Prediction,,,,Natural Language Processing,,,
146,Strategic Behavior when Allocating Indivisible Goods Sequentially,Game Theory,Mechanism Design,,,Fair division,Elicition free protocol,Backward induction,Indivisible goods,Game theory,,Multiagent Systems,,,
147,A Pattern Matching Based Graphical Model for Question Subjectivity Prediction,Natural Language Processing (General/Other),,,,Opinion Question,Subjectivity Detection,Opinion Question Detection,,,,Natural Language Processing,,,
148,Grounding Natural Language References to Unvisited and Hypothetical Location,Natural Language Processing (General/Other),Robotics (General/Other),,,Human-robot interaction,Integrated perception cognition and action,Mapping localization and exploration,,,,Natural Language Processing,Robotics,,
149,Story Generation with Crowdsourced Plot Graphs,Knowledge-Based Systems (General/Other),Machine Learning (General/other),Interactive Entertainment,Cognitive Modeling,Story generation,Narrative intelligence,Knowledge representation,,,,Knowledge-Based Systems,Machine Learning,Applications,Multidisciplinary Topics
